city,NDVI,NDBI,Rainfall,Temperature,latitude,longitude,AQI,Livability
Guntur,0.3696357060484814,-0.1244342000591264,1004.9428798256052,34.59661549011673,16.2915189,80.4541588,1,50.62
Bhiwandi,0.3061721084901916,0.0004325608669546,2324.9948881547843,34.752289234038074,19.3025562,73.0588072,3,46.33
Saharanpur,0.4029243811768824,-0.1425302750814184,1568.222004201012,27.349692840056434,29.9856799,77.5040646,5,42.71
Gorakhpur,0.296410841758625,-0.0933852618879165,961.36801937784,30.28199306084383,26.6677977,83.3642334,5,28.94
Bikaner,0.163094433365943,0.0667555397280253,610.8528821150375,35.822466437049854,28.0159286,73.3171367,4,16.3
Amravati,0.4497420136244119,-0.1462989539254464,1087.037319205336,35.81582402741901,21.1545412,77.6442962,3,44.52
Noida,0.2787852169944331,-0.0730919464344941,839.057709921706,28.96480009906361,28.5706333,77.3272147,5,25.61
Jamshedpur,0.3482645836809013,-0.055045611449858,1216.8957210685053,30.867692607374465,22.8015194,86.2029579,3,40.27
Bhilai,0.2804513770622112,-0.0185017403641547,1347.0037368225803,32.82262683292407,21.2120677,81.3732849,2,43.15
Cuttack,0.3192617458285903,-0.0548387924300024,1375.9905144598868,30.866368012242617,20.4686,85.8792,2,47.1
Firozabad,0.3198111753689568,-0.0682176022218061,757.4886672692517,30.30107494651133,27.1941954,78.4604956,5,24.89
Kochi,0.0921096940282212,-0.0853807970400146,3077.9250332515967,31.60922768370989,9.9679032,76.2444378,2,55.19
Nellore,0.3224497129781539,-0.086939970743552,981.277095911954,33.34505061408851,14.4493717,79.9873763,1,48.3
Bhavnagar,0.149257809713645,-0.0444259364024636,671.6913152020825,34.49312519103921,21.7718836,72.1416449,3,28.46
Dehradun,0.4554566687661618,-0.1408015569353431,2173.589926732528,26.12985686646136,30.3255646,78.0436813,5,49.89
Durgapur,0.3851203028530925,-0.0672228529537755,1336.2281287618198,30.501442737233106,23.5350475,87.3380425,4,39.21
Asansol,0.3753572101492982,-0.0361904067617182,1362.2702807989294,30.95961325106566,23.6871297,86.9746587,4,38.35
Rourkela,0.3082085137631754,-0.0149567008080195,1279.7577168737878,31.327053098293504,22.2309255,84.8678705,3,38.05
Nanded,0.4389139698888415,-0.0948891571911463,1056.7686788055162,34.52151141579577,19.0942729,77.4832628,3,42.59
Kolhapur,0.3885704840284469,-0.0856758444074279,664.9354761677449,33.91661468996563,16.7028412,74.2405329,3,36.77
Ajmer,0.3275046370918029,0.0096851512574055,938.8260343967604,30.063426349427687,26.4691,74.639,3,34.15
Akola,0.363538072578868,-0.0701785730774736,899.233522152648,36.01768126187363,20.7618123,77.1921157,3,36.83
Gulbarga,0.2865038745127077,-0.0288834977499745,752.8831180307195,37.14280240008827,17.3310003,76.8334228,3,29.14
Jamnagar,0.2405358651725622,-0.0709512336656034,677.3724105018076,33.22637609144158,22.4732415,70.0552102,3,30.37
Ujjain,0.3968761325678558,-0.1410390377720783,1115.0277767421576,32.58216080111316,23.1885131,75.7716562,3,43.53
Loni,0.44708650236706,-0.1770299610067658,924.1848013103707,33.47580177386038,21.2752308,76.1606744,3,43.7
Siliguri,0.4475225086548934,-0.0736979361392018,2371.1036746022733,28.423160795379147,26.7164127,88.4309916,5,48.68
Jhansi,0.3613017713759371,-0.097273111671875,850.9103122919857,31.14523949974665,25.529855,78.6527802,3,38.35
Ulhasnagar,0.3102187895823667,-0.0026051832116691,2210.9383910172687,35.15729128107114,19.2236329,73.1671515,3,46.31
Jammu,0.404661601101522,-0.1212344114845452,1590.1979159735615,26.879427481957293,32.7185614,74.8580917,3,49.71
Sangli,0.3378613129960022,-0.0354085371456799,583.3501062537302,34.88071457261998,17.1726928,74.5867654,3,30.71
Mangalore,0.1578074844972538,-0.1163861526026209,3079.830141971064,31.61245198001984,12.8698101,74.8430082,2,58.87
Erode,0.4680390403966915,-0.1380146291799373,959.222943118639,32.75728751654259,11.4905282,77.3505274,3,44.81
Belgaum,0.3735432254355472,-0.0611049990876378,948.1160173655932,33.87918360851501,15.8572666,74.5069343,3,38.1
Ambattur,0.2666274098285719,-0.0647861733768604,1803.014239008745,33.38053294958286,13.1193746,80.1507648,1,52.51
Tirunelveli,0.28238698222822,-0.0182320557702419,1399.672038325794,35.15262412761939,8.5495014,77.5805178,2,42.97
Malegaon,0.2875581975667481,-0.0367053920949207,664.8118250231729,36.7515223667113,20.5576062,74.5246514,3,29.07
Gaya,0.3347324410310484,-0.0519889403415957,858.2748820394271,31.857556405758203,24.7964355,85.0079563,3,34.84
Jalgaon,0.3597901237775216,-0.0584319557726202,772.9654678380045,35.7456335740423,20.8428827,75.5261246,2,40.01
Udaipur,0.3425346448725511,-0.0104333753795868,935.3865666410832,30.176129463513405,24.578721,73.6862571,3,35.19
Maheshtala,0.3796583169069855,-0.1271048816731547,1622.3910665173426,29.4845304013553,22.5060294,88.2501665,2,54.62
Davanagere,0.4732783356314677,-0.1484153781296575,461.8609772859984,30.79955877878234,14.2558835,75.8303421,3,43.0
Kozhikode,0.1835784638376559,-0.109461746671294,2505.8939567574585,30.950528817658665,11.2450558,75.7754716,2,55.46
Kurnool,0.2846653118877286,0.0300158971366804,610.9449459010802,37.38501963685792,15.8309251,78.0425373,2,31.69
Rajpur,0.2893427191885168,-0.0418773053427,1428.567838241718,33.04011694795139,21.2380912,81.6336993,2,44.93
Rajahmundry,0.331157076956661,-0.1468362940551897,956.0730707406424,31.110921861366933,17.0050454,81.7804732,1,49.85
Bokaro,0.3654887582539846,-0.0123713536413836,1101.0225162151503,31.530475012455383,23.699128,85.9910689,3,38.76
South Dumdum,0.2762038389011104,-0.0648956987282598,1494.077359598071,30.262955455715144,22.6180871,88.412251,2,47.96
Bellary,0.277168348907006,0.0131503977392917,380.8244541644288,36.36154426689569,15.1430224,76.9173277,3,23.47
Patiala,0.4381213098230047,-0.2217380542047384,937.668222518126,28.292796031314992,30.2092778,76.3397231,4,43.43
Gopalpur,0.2698414000819184,-0.0993561190717034,1468.186060741149,29.2845538465441,25.3094638,87.2078731,4,42.09
Agartala,0.3838829453942686,-0.152683252758014,2177.7197769819004,28.77989280244742,23.8312377,91.2823821,2,60.81
Bhagalpur,0.2595721448540538,-0.1037512490876666,1392.5241713813325,29.53702864744662,25.2861354,87.1304229,4,37.92
Muzaffarnagar,0.3858784815045389,-0.1189626965090083,1324.5971588458783,28.028014399248548,29.4496979,77.7429333,5,36.66
Bhatpara,0.4222192280336634,-0.1403897222371401,1427.820977370949,29.02240457570025,22.8464418,88.3856781,2,55.13
Panihati,0.3338761097125741,-0.0879180318464937,1501.877130959344,29.715506054089985,22.6950342,88.4073585,2,50.75
Latur,0.3860167954740417,-0.109379400118192,986.7981432873806,35.452709960129994,18.3553347,76.7548997,3,39.57
Dhule,0.2470870102936211,0.0050238399212979,643.2869030307745,37.41894017399733,21.1305215,74.4900614,3,24.83
Rohtak,0.3393222455747986,-0.0936547956959176,647.584905290986,28.87027518647028,28.9010899,76.5801935,5,25.93
Korba,0.380988823336547,-0.0370317108807912,1432.0760907179538,30.30951066849144,22.5198217,82.6350029,3,42.59
Bhilwara,0.3359723287477634,0.0483038120388319,803.8030711501829,32.416040457225506,25.470994,74.6961316,3,30.94
Berhampur,0.5137607635917801,-0.1222388236417033,1499.022919572586,29.37807782715373,21.4930852,86.6327298,2,54.95
Muzaffarpur,0.3871544718675638,-0.1131030932048762,900.4848696643165,30.052839599106107,26.1482548,85.3316097,5,32.06
Ahmednagar,0.2963826627414154,-0.0051615720621042,597.3005936057822,35.08346767672185,19.1627725,74.8580243,4,24.44
Mathura,0.2928800596164751,-0.0731831936962508,645.5522328468351,29.5926688277828,27.4955539,77.6855554,5,23.44
Kollam,0.1466129663528977,-0.166061182084342,2918.56586552893,30.16450703493456,8.8870533,76.5906696,2,61.61
Avadi,0.317290673763307,-0.0851370757213398,1737.342837084845,32.840510117722204,13.1194809,80.1026704,1,53.02
Kadapa,0.3319795681997322,-0.0411758186885027,671.4255531793442,35.460198788748755,14.4752936,78.8216861,2,36.38
Kamarhati,0.3082368551209538,-0.081512048660866,1513.983220642932,30.01391845756484,22.6810246,88.3715343,2,49.83
Sambalpur,0.404042843917696,-0.0573855734802164,1642.1404716696888,30.61640567245644,21.5570606,84.1528515,3,47.79
Bilaspur,0.3449774667832095,-0.0669192709575096,1415.3046685434226,31.876569407942554,22.1638486,82.1365923,3,43.6
Shahjahanpur,0.3993202792008981,-0.0986077179840788,970.6871709406174,29.83760782726273,27.9128583,79.7476254,5,32.84
Satara,0.3300523756071012,-0.0324930231589871,758.4662318191707,35.04920869491576,17.6361289,74.2982781,3,31.79
Bijapur,0.496027629726848,-0.0515135523053587,1132.2766612331252,30.651594228356142,18.7935679,80.815939,2,50.96
Rampur,0.4360608161336676,-0.1531967301695493,1286.6777474155574,27.68177448644872,28.7934728,79.1845806,5,41.0
Shivamogga,0.4439039249563428,-0.0711631536184727,693.0503976377986,31.574497988237223,13.9326093,75.574978,3,39.98
Chandrapur,0.4725573664997644,-0.0215542234640645,1518.220100154031,30.93453680894902,20.0967555,79.5045475,2,51.37
Junagadh,0.4353515246574711,-0.0621298208698418,910.7287079678936,33.01116200137312,21.5220416,70.4582458,3,40.57
Thrissur,0.4085566833567542,-0.203888790672573,2425.087632361857,31.67405931516032,10.5270099,76.214621,2,61.23
Alwar,0.3464151782015749,-0.0686050850858828,765.1979394332596,30.84269469078407,27.4140049,76.6170387,5,26.16
Bardhaman,0.3681951654310772,-0.1019710035709703,1209.3587789830788,29.69157671138112,23.2495714,87.8681751,3,42.39
Kulti,0.357018882818989,-0.0306890044856503,1311.3449902200482,30.42409536041453,23.7302149,86.8396711,4,36.85
Nizamabad,0.4106193394825475,-0.0944859706875988,1229.4984514456442,31.21431865986449,18.6732693,78.0978477,2,50.55
Parbhani,0.4035625096121922,-0.0835007910336061,876.942331277579,35.77741022844617,19.2901981,76.6026443,3,38.17
Tumkur,0.3987517655130795,-0.0971475585781709,687.931576640719,30.03047243934349,13.3400771,77.1006208,3,38.51
Khammam,0.3803478265935164,-0.0556370965112585,1014.939402560704,33.41233526728928,17.2465351,80.1500326,1,48.77
Ongole,0.2977891807979116,-0.0425261412268906,723.6032045236518,35.75137272454856,15.5058714,80.0499454,2,35.95
Karimnagar,0.2852099208282659,-0.0801457477073005,1051.064923454814,31.385817323916285,18.4348122,79.1328042,2,44.71
Sagar,0.3788817787423155,-0.0408129109263834,929.6035261301676,32.03938900401778,23.8083076,78.758254,3,37.99
Khandwa,0.2997429776048037,-0.0437537419864582,1176.0879819152642,33.88758895607293,21.9769779,76.5675344,3,36.85
Dindigul,0.43608860251602,-0.1158094901821717,1178.2521878665673,32.617299524221494,10.4256897,77.815664,4,41.16
Panipat,0.3356875595361399,-0.1219594058020042,883.1558208380194,28.959964270286548,29.3912753,76.9771675,5,30.05
Darbhanga,0.3465175353065057,-0.0715960247224935,1096.7298325046115,30.13569819205162,26.08299,86.0324951,5,32.62
Bally,0.3923897982529926,-0.2440602867405021,1118.7295601808016,17.288921492837687,22.6469581,88.343612,2,59.2
Aizawl,0.601639606500212,-0.2352873600949645,2216.896626661777,25.47563477174407,23.7277631,92.7179947,2,64.23
Dewas,0.3819571688888908,-0.103687357146272,1161.9534647897815,33.697006591264085,22.8057498,76.2940408,3,41.62
Ichalkaranji,0.4156941443237571,-0.0999021105681044,507.4804568347992,34.19451875066659,16.6959348,74.4555755,3,37.29
Tirupati,0.4311315492637683,-0.1208465834213639,1013.67341608245,32.11714303945513,13.6316368,79.4231711,2,50.3
Karnal,0.3543329454324761,-0.1728865067993783,948.8189554508248,28.134965563095363,29.7255766,76.9106924,5,34.72
Bathinda,0.4271281124865244,-0.1525367694607639,640.9613203878664,28.78004035918542,30.1794814,75.0471098,3,42.67
Jalna,0.3295498489344702,-0.0409894605957792,674.3646947775446,35.854646826180215,19.918833,75.8708599,3,31.36
Eluru,0.3759351440709509,-0.1671338820111549,954.634810852462,31.38547175291251,16.7104257,81.1153816,1,51.03
Barasat,0.4607306472639292,-0.1504023025398133,1501.6133307722996,28.959519653041355,22.7191072,88.4826229,2,58.67
Purnia,0.4084460223719133,-0.1266497490701305,1693.253887743789,29.157788947207564,25.7758723,87.4087667,4,47.43
Satna,0.369633251449189,-0.0503123668945752,807.2248480022552,32.2533817545073,24.6954445,80.7770348,3,37.03
Mau,0.3059519349912232,-0.0662898507929167,859.5933767743401,30.631372936396417,26.0390905,83.4985846,5,25.31
Sonipat,0.3463884303320555,-0.1117978421150664,751.4475686047061,28.602199564049783,28.9953758,77.0233627,5,28.28
Farrukhabad,0.3832293800283246,-0.1177158109836575,1021.3302261592008,29.355346530114275,27.4362003,79.4894778,5,33.06
Srikakulam,0.4054145468209146,-0.0639818948914984,892.5955323916654,32.98429888842014,18.2949307,83.8938844,2,43.41
Rewa,0.3849132755137063,-0.0671311765545576,772.0208795793907,31.166606436942345,24.7560846,81.3810574,3,37.79
Imphal,0.2904369619115423,-0.0241161174980589,1169.6320249238354,27.725573434001035,24.7991162,93.9364419,2,43.84
Ratlam,0.4179244409067651,-0.1329318816974992,1214.2226283930654,33.427477288545504,23.5022201,74.9551534,3,44.55
Hapur,0.4201383556265951,-0.1336035885455775,1013.516470991114,28.42982685197188,28.7166767,77.890433,5,36.09
Arrah,0.3440892274233286,-0.1112152732278424,709.4012220992869,31.93692780552618,25.560317,84.6632139,4,29.17
Anantapur,0.2826363394605165,0.0166367462496921,452.4980589007152,35.82968832562182,14.6783221,77.6065039,3,24.48
Karur,0.3006812408054101,0.0154331750854383,919.11908946783,35.768827586626,10.8217671,78.3828654,4,26.9
Etawah,0.3888017390838231,-0.1150860418513425,910.3833210510352,29.16839644792748,26.7155629,79.0917098,4,37.17
Ambala,0.3669038384069686,-0.1476557801147348,1236.6782336219164,27.94516137293192,30.3843674,76.770421,4,40.91
North Dumdum,0.3214128036698803,-0.0805394360227825,1499.4903723489124,29.91930203899136,22.6660837,88.4211986,2,49.95
Bharatpur,0.3161858755440732,-0.0527776090099203,692.815418879012,31.26043985072681,27.0246959,77.2920116,5,23.74
Begusarai,0.3855352745201382,-0.0979393885968987,1094.0327942605788,30.859900750185147,25.5125411,86.0883392,4,38.18
New Delhi,0.3441616631521975,-0.0955936878228422,823.3936266869977,28.74482954447785,28.6138954,77.2090057,5,28.02
Gandhidham,0.1502148143285744,-0.0280210180666629,531.8447988872973,33.962248327356065,23.0718743,70.131715,3,26.13
Baranagar,0.2812058268509648,-0.0611382315948684,1512.7538302574228,30.32238980820682,22.6530765,88.3805962,2,47.73
Tiruvottiyur,0.1205544339175819,-0.0436338299307595,1816.880981680929,34.03602713604431,13.1563873,80.3005279,1,47.27
Pondicherry,0.2599683625152307,-0.0651075474849215,1655.8339946429749,33.35696199439923,10.9156489,79.8069488,1,51.61
Sikar,0.3040185136663445,0.0067145277427497,583.1558632609604,31.5704597617542,27.6624156,75.0279971,4,24.14
Thoothukudi,0.2197410527433432,-0.0049810960627679,921.2245801822291,38.87418143898952,8.8457035,77.9938178,2,33.15
Rewari,0.2987000995943679,-0.0530275622314169,613.1762548833009,30.819984222063283,28.1956468,76.6165179,5,22.14
Mirzapur,0.2845984705959355,0.023068301805922,815.8120191060731,32.706271144965115,24.9316896,82.6280163,3,29.21
Raichur,0.3974524304851959,-0.0728973858750727,551.7230526760886,34.1088160629991,16.0547194,76.9003647,3,35.63
Pali,0.2480022422814999,0.0889338226596797,640.3929950799751,34.804641231482435,25.4552211,73.419389,4,18.71
Ramagundam,0.3244650166499961,-0.0431816660600435,1169.9053257870617,32.36362236695555,18.7615156,79.4787848,2,44.64
